"","meanearly","meanlate","sdearly","sdlate","p_value"
"REG3G",1.29114968769716,2.2500802038835,2.14508295666832,2.60263641389007,1.38145779554934e-05
"RPL36",12.66339170347,12.9130032038835,0.844866517767111,0.75883652609378,0.000484893206881333
"ATG7",9.353948170347,9.42208233009709,0.364951727149186,0.386607901702661,0.0447612229389577
"TREML3",0.65646014511041,1.04576648058252,0.738858700516935,1.16529574494232,2.60111995158454e-05
"GDPD1",4.97881971608833,4.74579252427184,0.85445941199106,0.884463486289266,0.00301352983575419
"SRL",5.3623543533123,4.94152334951456,1.01739740561767,0.991524419097817,3.57068694701117e-06
"TMEM165",10.0894796529968,10.3011048058252,0.447426448463885,0.520183256638031,2.27926725049515e-06
"SEMA7A",6.69748757097792,7.20858805825243,1.0278251456534,1.16615594668191,4.58171744695935e-07
"CLEC4D",2.00314196845426,2.29648246116505,1.08059363856659,1.228290472789,0.00542544151985181
"RPS5",13.3283755205047,13.4573004854369,0.717283162503844,0.690917130500667,0.0405669061640817
"SSX1",0.0925718769716088,0.326033975728155,0.670269237657302,1.4544688828469,0.0317102684599615
